cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
0.071386430678466,0.3793103448275862,0.3689655172413793,True,31,31,7474194,transkribus
0.0639296187683284,0.3321554770318021,0.3321554770318021,True,31,31,7474189,transkribus
0.0916030534351145,0.6,0.6,False,4,10,7474184,transkribus
0.0762942779291553,0.3564668769716088,0.3501577287066246,True,33,33,7474187,transkribus
0.0818030050083472,0.3630769230769231,0.3569230769230769,True,33,33,7474190,transkribus
0.0806100217864923,0.3647798742138364,0.3553459119496855,True,34,34,7474188,transkribus
0.077445652173913,0.3571428571428571,0.3492063492063492,False,28,29,7474185,transkribus
0.0888268156424581,0.4056603773584906,0.3962264150943396,True,32,32,7474193,transkribus
0.0940325497287522,0.4270462633451957,0.4199288256227758,False,33,34,7474186,transkribus
0.0868632707774798,0.3816568047337278,0.3757396449704142,True,33,33,7474191,transkribus
